uuid,Name,"Max Voltage, dBV","Max Current, dB(mA)","Impedance , ohm"
ffae4ee1-166e-43c0-9c63-0e06199dd9ce,Creative Audigy 5/RX,5.81,13.61,19.42
317fb2cb-f5f4-44de-a1f7-1e3a0a2ec43d,Creative Audigy Fx,-2.4,7.54,17.97
eccaf7c0-e91a-480c-a03a-eea2b43eaa4a,Creative Sound Blaster E5,9.75,34.65,2.4
5b2f5256-c7be-4a92-8e78-268cdf7759b1,Creative Sound Blaster Live! 5.1 (SB0600),6.28,26.37,31.7
70a8bb97-4916-49e9-89b3-fc40f27ca912,Creative Sound Blaster Omni Surround 5.1 Wasapi SSRC 96 kHz,6.25,16.03,17.98
3b64d1b0-37c2-4465-a213-eadb663e9751,Creative Sound Blaster X7 LE Hi Gain,14.66,40.2,0.78
ef2fac7c-d425-491c-8413-d174e28fa24c,Creative Sound BlasterX AE-5 HP Out,14.46,37.81,1.11
18cd1c89-3bef-4cde-8235-099eb532b1ff,Creative Sound BlasterX AE-5 Line Out,6.36,26.41,1.94
63a7c21c-604e-4664-b6ef-7c183560510b,Creative Sound BlasterX AE-9 High Mode,15.01,30.52,1.15
eb570ecc-01c5-437e-bf68-6cc8734a156f,Creative Sound BlasterX AE-9 Iem Mode,4.01,31.4,1.16
ad766f7b-0e58-4596-a8bf-0e69e3085070,Creative Sound BlasterX AE-9 Normal Mode,10.03,30.79,1.16
5fe467e5-3024-460a-89c3-38c5fc4e7c6d,Creative SoundBlaster Zx,6.23,13.74,18.07
a5529f03-dde8-488e-8cbe-f0f7b086c322,Creative SoundBlasterX G6 External power,8.17,12.12,1.15
a8e20033-4337-4f50-91f3-a26cb6199a61,Creative SoundBlasterX G6 Hi Gain,10.03,10.5,1.15
e10ce0be-23da-4382-a937-9c9339ee541b,Creative SoundBlasterX G6 Line out,5.84,27.62,48.53
c9d17c6c-cb8f-4a86-8d60-383bb00823ca,Creative SoundBlasterX G6 Low Gain,1.88,5.82,1.14
e018a35c-a1a2-43eb-9f4d-bdf54204b840,Creative SXFI AMP Asus M1,7.3,30.36,0.16
578362d2-c7b9-4053-8559-ed5515490709,Creative SXFI AMP PC,7.3,32.87,0.16
37aac638-0f31-4276-b12b-8ccb976ba1ca,Creative X-Fi Elite Pro Console (HP Out),-2.58,17.6,32.41
e6040524-7b33-46b1-bc6c-a9f0253e2593,Creative X-Fi Elite Pro Front,6.41,17.74,34.07
5ccdbe2f-a812-4624-8e33-6cbf1f938f62,Creative X-Fi Xtreme Gamer Fatal1ty Professional Series Creation Mode 44 kHz,1.54,17.99,35.2
8cad6513-fef0-4dfe-8fc3-a2055474f872,DAART Aquila II Balanced Out,23.14,47.82,2.16
