uuid,Name,Sensitivity,Sensitivity2,Impedance,acoustic_design,type
bb14a44e-8818-4065-b70d-86271b331aea,Ambient Acoustics MAD3H Universal,132.84,113.16,10.77,Closed,iem
3709ff2d-556d-4799-ac01-9b1e29defde1,Ambient Acoustics MAD4 Universal,133.93,114.51,11.43,Closed,iem
6492b114-d93f-4693-8198-014b95c4ace5,Ambient Acoustics MAD6 Universal,131.91,111.54,9.19,Closed,iem
eee0bf4f-46b2-43f8-8d3e-ac5e90276411,Amphiton TDS 15,110.28,92.45,16.47,Open,earpad
ec13a317-f56f-4f83-89dd-14249d628c49,Amphiton TDS 7,101.16,80.7,8.99,Closed,earpad
14d6d3b1-8286-4d16-bada-1c7897540d6f,Amphiton TDS 7 Snorry Mod,111.1,90.4,8.51,Closed,full
fd22eb35-22a6-4632-84dd-5e2744959ef9,Anew U1,132.86,118.35,35.4,Closed,iem
d47f2879-f6db-4b8b-81a0-a597db268ce2,Anew X-One Black,130.75,112.51,15.01,Closed,iem
a6687176-10a2-4e51-aa4c-750518ff3a5f,Anew X-One Blue,130.45,112.1,14.63,Closed,iem
a9e9de72-b91c-4e53-b4e6-8220d16ac8d9,Anew X-One Red,130.61,112.62,15.89,Closed,iem
5d883bf1-98ac-4a98-9273-855bba019c0c,Anew X-One Upturned Black,130.54,109.36,7.63,Closed,iem
46be8193-19d0-4ec2-846c-9e00bafad2da,Anew X-One Upturned Blue,130.38,109.17,7.57,Closed,iem
c58e07fc-bf57-42d9-a7c3-db11eabcfcbb,Anew X-One Upturned Red,130.6,109.56,7.87,Closed,iem
9ebffded-72dd-40fc-a53f-641bac17e8b3,Angry Birds Angry Birds,128.37,111.2,19.2,Closed,iem
e22eabdd-6241-4acb-b72a-17ddd051e223,ANKER Soundcore Life Q30 Wire,120.59,103.37,18.99,Closed,full
f6d08489-986b-4409-bd15-79e7b0b0377c,Apple ME186 Close,127.2,113.01,38.13,Closed,iem
5a5bfff3-b045-491a-92d2-3b15e59ceb34,Apple ME186 Default,127.19,113.0,38.13,Closed,iem
5b4b4ab0-0cbf-4281-8310-c97465a08e7a,Astell&Kern AK T5p II,118.4,104.3,38.95,Closed,full
c72e562c-0bb1-40af-a1bd-44bd01721583,Astell&Kern AK T8iE MKII,134.4,116.4,15.83,Closed,iem
e5954f4c-1c9e-49b2-a12a-b468bde9fff9,Astell&Kern AKR03 Roxanne Max,140.11,119.01,7.76,Closed,iem
27fcbf49-4bf4-402c-90b1-a02431eff5d7,Astell&Kern AKR03 Roxanne Min,135.55,117.11,14.35,Closed,iem
f692bf85-f160-4c01-8c1c-6b0a6c5adbc8,Astell&Kern AngieII Max,130.19,110.44,10.59,Closed,iem
84717d07-316a-41ac-828b-0c25bfdc5f9b,Astell&Kern AngieII Min,123.98,106.06,16.16,Closed,iem
e57db6c4-d861-48d0-b1f3-bcd350da1183,Astell&Kern Billie Jean,138.89,124.29,34.64,Closed,iem
e3c563bd-9036-44e1-b25e-15f1156ce9ea,Astell&Kern Layla II Max,134.23,116.27,15.98,Closed,iem
524af7f8-e5bd-493a-afaa-4c57c42531f8,Astell&Kern Layla II Min,131.92,115.58,23.25,Closed,iem
567600d7-d28f-42c9-afe5-94fd5e45c8f3,ASTRO Gaming A10,117.53,103.24,37.23,Closed,full
8d0429f9-6a5f-42e7-a575-09497d4c1539,ASTRO Gaming A40,113.27,101.21,62.22,Semi-open,full
b30a1bdc-c71f-426b-b824-420ade472a48,Astrotec AX-60,127.45,108.33,12.23,Closed,iem
d0f73c56-f22b-4eac-85d4-80a1e46fcf6b,Astrotec AX-7,126.07,111.68,36.37,Closed,iem
5435576c-3124-4d8c-9a17-08d81a4a0135,ASUS Strix Fusion 300,118.84,104.14,33.86,Closed,full
5a6c1340-29cf-4326-ae2a-7af194297859,Audeze EL-8 Closed,108.0,93.69,37.08,Closed,full
b9bee452-35ce-40bf-a240-ce1735e64066,Audeze Euclid,122.18,103.48,13.51,Closed,full
030ead4d-c4b7-4251-8241-4f51103aa92d,Audeze iSINE10,126.18,108.4,16.65,Open,iem
9cd11aad-d1b7-4909-b658-61b7ed848acf,Audeze LCD-1,116.35,98.15,15.12,Open,full
393420e4-ba3c-4346-a858-4300569e9725,Audeze LCD-2,107.12,93.44,42.88,Open,full
fddbacc0-e72b-4caa-b8a5-0b3f1a189c58,Audeze LCD-2 Bamboo Fazor,105.49,93.48,62.96,Open,full
853b613a-dfa4-4d14-b68b-24bb7dd35bb8,Audeze LCD-2 Classic Closed Back,107.45,96.29,76.48,Closed,full
db669672-5802-4802-92c7-9146d431de65,Audeze LCD-2C,112.22,100.45,66.48,Open,full
59e314bc-454f-4bfe-b324-1bfe3b8bc4e2,Audeze LCD-3,100.05,87.13,50.98,Open,full
6fd54f62-743b-4fff-beff-c8eb6f3618b0,Audeze LCD-3 Fazor,105.39,95.85,111.18,Open,full
93c71cf2-1810-430d-9ce1-825a1457e8ab,Audeze LCD-4z,109.65,93.07,21.98,Open,full
40ca8b4a-f56a-465b-b2d1-bf7c8299716e,Audeze LCD-GX,114.07,96.42,17.16,Open,full
a7449644-313a-4a6f-9ac1-0289a81b23d0,Audeze LCD-i3,124.36,107.75,21.84,Open,iem
e3b7d039-4c11-4c79-b9ef-b8de1a186c1c,Audeze LCD-MX4,118.45,102.04,22.86,Open,full
70592338-2552-4cf6-a416-ffcb948b9fa5,Audeze LCD-X,108.34,91.69,21.63,Open,full
db61d677-df02-49c5-843f-6569eb604ca3,Audeze LCD-XC,109.95,92.75,19.06,Closed,full
70fa62a8-e3ec-466b-a163-2f161d765a1e,Audeze Mobius Analog,111.56,116.07,2828.1,Closed,full
f2a94c9e-7b7d-465a-9364-b36311f1f485,Audeze Sine,101.72,85.38,23.25,Closed,full
8969d7ec-6838-4db2-b05d-030e729cd8b4,Audeze Sine Big Cushions Mod,114.33,98.18,24.25,Closed,full
58a2885e-67be-49f6-9a23-ca6c069fa1d7,Audio-Technica AHT-EP3,121.39,106.68,33.76,Closed,iem
ab897789-30aa-4e38-9858-3c90382d93e7,Audio-Technica ATH-A1000X,112.31,98.77,44.2,Closed,full
d8f9d42f-b486-44d2-8fba-c41aa8d7b338,Audio-Technica ATH-A1000Z,116.72,103.3,45.54,Open,full
4768a128-8b64-4bdc-a083-550ebe4c956c,Audio-Technica ATH-A500,115.8,104.35,71.61,Closed,full
48892f6c-00dc-44be-bd78-5d336f8b952c,Audio-Technica ATH-A550Z,109.65,95.74,40.67,Closed,full
8d7e1bb9-6ac8-44fd-9573-88f84f46eb8d,Audio-Technica ATH-A700X,117.19,103.01,38.22,Closed,full
006e262f-4176-4325-a085-ff6986d46439,Audio-Technica ATH-A900,120.13,106.37,42.06,Closed,full
d41d26a4-df72-488b-8111-a0cc8d0180cd,Audio-Technica ATH-AD1000PRM Premium,117.09,103.31,41.86,Open,full
